trans_date_trans_time,trans_num,cc_num,amt,merchant,fraud_probability,prediction,trans_date
2019-01-01 00:00:18,0b242abb623afc578575680df30655b9,2703186189652095,4.97,"fraud_Rippin, Kub and Mann",0.053223,0,2019-01-01
2019-01-01 00:00:44,1f76529f8574734946361c461b024d99,630423337322,107.23,"fraud_Heller, Gutmann and Zieme",0.039378,0,2019-01-01
2019-01-01 00:00:51,a1a22d70485983eac12b5b88dad1cf95,38859492057661,220.11,fraud_Lind-Buckridge,0.046283,0,2019-01-01
2019-01-01 00:01:16,6b849c168bdad6f867558c3793159a81,3534093764340240,45.0,"fraud_Kutch, Hermiston and Farrell",0.023542,0,2019-01-01
2019-01-01 00:03:06,a41d7549acf90789359a9aa5346dcb46,375534208663984,41.96,fraud_Keeling-Crist,0.007731,0,2019-01-01
2019-01-01 00:04:08,189a841a0a8ba03058526bcfe566aab5,4767265376804500,94.63,"fraud_Stroman, Hudson and Erdman",0.013536,0,2019-01-01
2019-01-01 00:04:42,83ec1cc84142af6e2acf10c44949e720,30074693890476,44.54,fraud_Rowe-Vandervort,0.032172,0,2019-01-01
2019-01-01 00:05:08,6d294ed2cc447d2c71c7171a3d54967c,6011360759745864,71.65,fraud_Corwin-Collins,0.015524,0,2019-01-01
2019-01-01 00:05:18,fc28024ce480f8ef21a32d64c93a29f5,4922710831011201,4.27,fraud_Herzog Ltd,0.348564,0,2019-01-01
2019-01-01 00:06:01,3b9014ea8fb80bd65de0b1463b00b00e,2720830304681674,198.39,"fraud_Schoen, Kuphal and Nitzsche",0.450159,0,2019-01-01
2019-01-01 00:06:23,d71c95ab6b7356dd74389d41df429c87,4642894980163,24.74,fraud_Rutherford-Mertz,0.411005,0,2019-01-01
2019-01-01 00:06:53,3c74776e558f1499a7824b556e474b1d,377234009633447,7.77,fraud_Kerluke-Abshire,0.139847,0,2019-01-01
2019-01-01 00:06:56,c1d9a7ddb1e34639fe82758de97f4abf,180042946491150,71.22,fraud_Lockman Ltd,0.026721,0,2019-01-01
2019-01-01 00:07:27,413636e759663f264aae1819a4d4f231,5559857416065248,96.29,fraud_Kiehn Inc,0.206811,0,2019-01-01
2019-01-01 00:09:03,8a6293af5ed278dea14448ded2685fea,3514865930894695,7.77,fraud_Beier-Hyatt,0.591784,1,2019-01-01
2019-01-01 00:09:20,baae0b096835c975857eea7e28dde3dc,6011999606625827,3.26,fraud_Schmidt and Sons,0.56213,1,2019-01-01
2019-01-01 00:10:49,991c04803b4d4eeab30d6245a872e3d3,6011860238257910,327.0,fraud_Lebsack and Sons,0.124503,0,2019-01-01
2019-01-01 00:10:58,f12cf52be2175703db789a4644c32f25,3565423334076143,341.67,fraud_Mayert Group,0.061763,0,2019-01-01
2019-01-01 00:11:14,8500f3d459047eac8443307b1e8296e5,2348245054386329,63.07,"fraud_Konopelski, Schneider and Hartmann",0.066368,0,2019-01-01
2019-01-01 00:12:34,09eff9c806365e2a6be12c1bbab3d70e,4956828990005110784,44.71,"fraud_Schultz, Simonis and Little",0.319406,0,2019-01-01
2019-01-01 00:13:08,139a1bee15be607d79fe173bfcb2502a,4469777115158235136,57.34,fraud_Bauch-Raynor,0.506738,1,2019-01-01
2019-01-01 00:14:37,b9c4615bec3561c8e83b0c1d6c7028e2,2305336922781618,50.79,fraud_Harris Inc,0.048974,0,2019-01-01
2019-01-01 00:17:16,19e23c6a300c774354417befe4f31f8c,180048185037117,46.28,fraud_Kling-Grant,0.029514,0,2019-01-01
2019-01-01 00:17:40,c4b4daebab8be54cadde4b941244ca53,630441765090,9.55,fraud_Pacocha-Bauch,0.454166,0,2019-01-01
2019-01-01 00:18:06,d2432bfeabf142dc1bae1d426e32aecc,4428780983793657344,22.95,fraud_Lesch Ltd,0.031977,0,2019-01-01
2019-01-01 00:18:07,abe0676c18f34fa305b113fa762e29b5,343464013864032,2.55,fraud_Kunde-Sanford,0.085673,0,2019-01-01
2019-01-01 00:20:15,6f363661ba6b55889e488dd178f2a0af,374930071163758,64.09,fraud_Deckow-O'Conner,0.067378,0,2019-01-01
2019-01-01 00:21:32,f3c43d336e92a44fc2fb67058d5949e3,4334230547694630,6.85,fraud_Bruen-Yost,0.030776,0,2019-01-01
2019-01-01 00:22:06,95826e3caa9e0b905294c6dae985aec1,4225990116481262592,90.22,fraud_Kunze Inc,0.121751,0,2019-01-01
2019-01-01 00:22:18,20490f3f0966ce74b4aaba8dc2c4ed52,4260059589824237,4.02,"fraud_Nitzsche, Kessler and Wolff",0.044269,0,2019-01-01
2019-01-01 00:22:36,870c92b288a974a2faf1f24b05c27e33,180094608895855,3.66,"fraud_Kihn, Abernathy and Douglas",0.006506,0,2019-01-01
2019-01-01 00:22:39,cb598ec00d349dc95e7b3c18de5ae800,4599735407877244928,82.8,"fraud_Heller, Gutmann and Zieme",0.411711,0,2019-01-01
2019-01-01 00:22:44,20f048d3907dbb9978e23bee7b7578ce,630412733309,66.21,fraud_Torphy-Goyette,0.174694,0,2019-01-01
2019-01-01 00:23:41,1654da2abfb9e79a5f99167fc9779558,2712209726293386,25.58,fraud_Balistreri-Nader,0.196744,0,2019-01-01
2019-01-01 00:23:58,c733711c521c41c578f4a964d8350df0,374125201044065,9.03,"fraud_Bahringer, Schoen and Corkery",0.023144,0,2019-01-01
2019-01-01 00:25:46,7e2f9596cb3a3595ece15611ee338e5c,349612764943496,99.0,fraud_Hudson-Ratke,0.337489,0,2019-01-01
2019-01-01 00:26:22,f246ac27c09429ff1e385d4683c79c4d,3598215285024754,207.36,fraud_Heidenreich PLC,0.106144,0,2019-01-01
2019-01-01 00:27:45,7bb25a43205191eb7344282b88fc54d3,213141712584544,181.35,fraud_Halvorson Group,0.228712,0,2019-01-01
2019-01-01 00:27:56,61bcb858dd5c8e2d0d46d02b4fa0bf8e,30561214688470,82.22,fraud_Harber Inc,0.011302,0,2019-01-01
2019-01-01 00:29:11,a8394c3e555166ce2f90eee628bd9ade,4789911625179723,221.81,"fraud_Mosciski, Gislason and Mertz",0.213827,0,2019-01-01
2019-01-01 00:30:49,f1566e9623814dd277dfa2a9bf83ea36,676372984911,53.6,"fraud_Christiansen, Goyette and Schamberger",0.229764,0,2019-01-01
2019-01-01 00:31:01,8d11abad6bc3501f9994f061e3a5b730,30011465039817,54.02,fraud_Howe Ltd,0.035756,0,2019-01-01
2019-01-01 00:31:51,47238da5b40d126c8abea40a857c7809,4642255475285942,102.13,fraud_Ledner-Pfannerstill,0.097781,0,2019-01-01
2019-01-01 00:32:15,d9dcde500bed2cad48ee41e44c362596,30074693890476,212.75,fraud_Lockman Ltd,0.018626,0,2019-01-01
2019-01-01 00:32:15,14a6e29ac65424550ea7e7c9f551dbb8,180067784565096,130.4,fraud_Koepp-Witting,0.280234,0,2019-01-01
2019-01-01 00:32:47,685bcca9eb5ce554134d7242d564ecc9,213126662687660,91.16,fraud_Doyle Ltd,0.321046,0,2019-01-01
2019-01-01 00:33:51,392529cae1f1f1647093732a8f319c50,2266735643685262,55.78,"fraud_Schaefer, Maggio and Daugherty",0.230693,0,2019-01-01
2019-01-01 00:34:10,9b7a0619dcc5c572dc134f2827ed5a6b,3553629419254918,83.07,fraud_Stracke-Lemke,0.381233,0,2019-01-01
2019-01-01 00:36:12,f1e1ad954f49955c37b45eb71b2d1642,3511058278399773,4.38,"fraud_Mosciski, Ziemann and Farrell",0.373831,0,2019-01-01
2019-01-01 00:36:58,e02fd7d82af517718f83a3f05077d435,4110266553600176128,130.89,fraud_Cartwright-Harris,0.030324,0,2019-01-01
